DATA,DATE,OPEN,HIGH,LOW,PREV_CLOSE,LTP,CLOSE,VWAP,52W_H,52W_L,VOLUME,VALUE,NO_OF__TRADES,DAILY_RETURN,MA_7,MA_14,MA_30,VOLATILITY,VOLUME_CHANGE
2023-05-18,2023-05-18,106.5,107.15,105.1,106.0,105.35,105.2,105.92,"1,209.00",95.0,24208481,"2,56,42,75,088.30",153094,-0.007547169811320753,107.26428571428572,108.4,107.45166666666667,0.008231389441430665,-0.16220483041196954
2023-05-19,2023-05-19,105.6,105.7,104.05,105.2,104.7,104.65,104.56,"1,209.00",95.0,29848841,"3,12,09,08,345.85",164196,-0.005228136882129197,106.60714285714286,108.16428571428573,107.47,0.00813316316555736,0.23299107449162126
2023-05-22,2023-05-22,105.0,105.25,104.3,104.65,105.1,105.0,104.88,"1,097.00",95.0,21588716,"2,26,43,31,112.70",146640,0.0033444816053511683,106.10000000000001,107.78571428571429,107.475,0.008872905429437998,-0.2767318503254448
2023-05-23,2023-05-23,105.1,106.05,105.0,105.0,105.6,105.6,105.58,"1,097.00",95.0,21304034,"2,24,93,49,513.10",120258,0.005714285714285561,105.9357142857143,107.49285714285715,107.51666666666667,0.007840519012938014,-0.013186611005490123
2023-05-24,2023-05-24,105.1,105.8,104.9,105.6,105.0,105.2,105.3,"1,097.00",95.0,28454367,"2,99,63,44,304.75",113015,-0.0037878787878786735,105.57857142857142,107.075,107.525,0.0063565684084472265,0.3356328195871261
2023-05-25,2023-05-25,105.0,105.2,104.3,105.2,105.0,104.85,104.66,"1,097.00",95.0,25885062,"2,70,90,50,705.20",120182,-0.0033269961977187013,105.21428571428571,106.80357142857143,107.435,0.006352100200040227,-0.09029563019272224
2023-05-26,2023-05-26,105.0,106.75,104.95,104.85,106.45,106.4,105.85,"1,097.00",95.0,28362042,"3,00,22,17,896.90",106252,0.014783023366714554,105.27142857142859,106.57857142857144,107.395,0.007851281957992501,0.09569148414633899
2023-05-29,2023-05-29,107.0,108.85,106.3,106.4,108.35,108.45,107.92,"1,092.80",95.0,41062311,"4,43,15,34,295.90",149388,0.019266917293233154,105.73571428571428,106.50000000000001,107.42666666666668,0.009584036650034744,0.44779106525545664
2023-05-30,2023-05-30,108.95,108.95,106.9,108.45,106.95,107.05,107.57,"1,092.80",95.0,33475211,"3,60,09,17,274.85",134867,-0.012909174734900941,106.07857142857142,106.34285714285714,107.42333333333333,0.011176802195406954,-0.18477040904979747
2023-05-31,2023-05-31,106.4,106.95,105.6,107.05,105.85,105.8,106.14,"1,092.80",95.0,41249944,"4,37,82,51,037.75",131061,-0.011676786548341922,106.19285714285715,106.14642857142857,107.36333333333333,0.012526822462597861,0.23225344270421466
2023-06-01,2023-06-01,105.9,106.7,105.8,105.8,106.0,105.95,106.15,"1,092.80",95.0,21211538,"2,25,15,51,758.05",94464,0.0014177693761814325,106.24285714285715,106.08928571428571,107.29166666666667,0.01237030024837394,-0.4857801988773609
2023-06-02,2023-06-02,106.5,108.3,106.5,105.95,108.05,108.0,107.48,"1,092.80",95.0,46686933,"5,01,77,25,667.70",138198,0.01934874941009901,106.64285714285714,106.1107142857143,107.29166666666667,0.014004757059156941,1.201015928217935
2023-06-05,2023-06-05,108.65,109.9,107.8,108.0,109.6,109.4,108.83,"1,088.90",95.0,39642539,"4,31,43,34,583.10",143608,0.012962962962963065,107.29285714285716,106.25357142857142,107.4,0.01396808021161886,-0.15088577354181731
2023-06-06,2023-06-06,109.75,109.85,108.3,109.4,109.1,109.0,108.94,"1,088.90",95.0,26751372,"2,91,44,20,221.25",123777,-0.003656307129798919,107.66428571428573,106.46785714285714,107.48333333333333,0.013810993581814753,-0.3251852006754663
2023-06-07,2023-06-07,109.5,111.75,108.9,109.0,111.5,111.5,110.46,"1,088.90",95.0,45157197,"4,98,78,84,439.90",172381,0.022935779816513735,108.10000000000001,106.91785714285713,107.63166666666666,0.014556933003949559,0.6880329352827212
2023-06-08,2023-06-08,111.5,113.0,110.95,111.5,111.25,111.15,111.81,"1,088.90",95.0,46380294,"5,18,57,82,963.20",163368,-0.003139013452914785,108.6857142857143,107.38214285714285,107.775,0.013048970331717619,0.027085317097959027
2023-06-09,2023-06-09,111.25,111.65,108.65,111.15,109.15,108.9,109.42,"1,088.90",95.0,36392617,"3,98,21,74,835.80",160353,-0.020242914979757054,109.12857142857142,107.66071428571429,107.81666666666666,0.015155173984882466,-0.21534311533255912
2023-06-12,2023-06-12,109.15,110.6,109.15,108.9,109.55,109.5,109.79,"1,013.70",95.0,23472313,"2,57,70,57,322.15",129504,0.005509641873278293,109.63571428571429,107.93928571428572,107.86833333333334,0.015107353677849765,-0.3550254162815496
2023-06-13,2023-06-13,110.0,111.85,109.65,109.5,111.05,111.15,110.85,"1,013.70",95.0,30018212,"3,32,76,32,939.35",129410,0.015068493150685036,110.0857142857143,108.36428571428571,107.89666666666668,0.014495383345487172,0.27887745873191117
2023-06-14,2023-06-14,111.5,114.0,111.4,111.15,113.75,113.8,113.22,"1,013.70",95.0,66696433,"7,55,10,41,425.20",245307,0.02384165542060268,110.71428571428571,109.00357142857142,108.03333333333333,0.01608661589546953,1.2218656127820005
2023-06-15,2023-06-15,113.9,114.2,113.25,113.8,113.65,113.75,113.75,"1,013.70",95.0,39430138,"4,48,52,56,302.80",148524,-0.0004393673110720808,111.39285714285714,109.52857142857142,108.12333333333332,0.01581647160758359,-0.40881189253404304
2023-06-16,2023-06-16,114.4,114.8,113.85,113.75,114.35,114.25,114.24,"1,013.70",95.0,31715807,"3,62,31,57,859.10",119137,0.00439560439560438,111.78571428571429,109.94285714285714,108.30999999999999,0.013998452275292608,-0.19564554909749488
